STOCK_EXCHANGE,STOCK_SYMBOL,INTERVEL ,NO OF  DAYS,STOCK NAME
NSE,KANANIIND,86400,4000,Kanani Industries Limited
NSE,APLAPOLLO,86400,4000,APL Apollo Tubes Limited
NSE,VIKASECO,86400,4000,Vikas EcoTech Limited
NSE,RASOYPR,86400,4000,Rasoya Proteins Limited
NSE,SHARONBIO,86400,4000,Sharon Bio-Medicine Limited
NSE,POLYMED,86400,4000,Poly Medicure Limited
NSE,RUPA,86400,4000,Rupa & Company Limited
NSE,DSSL,86400,4000,Dynacons Systems & Solutions Limited
NSE,JISLDVREQS,86400,4000,Jain Irrigation Systems Limited
NSE,SEZAL,86400,4000,Sezal Glass Limited
NSE,ESSARSHPNG,86400,4000,Essar Shipping Limited
NSE,INDOTHAI,86400,4000,Indo Thai Securities Limited
NSE,TRITURBINE,86400,4000,Triveni Turbine Limited
NSE,UJAAS,86400,4000,Ujaas Energy Limited
NSE,FLEXITUFF,86400,4000,Flexituff International Limited
NSE,ONELIFECAP,86400,4000,Onelife Capital Advisors Limited
NSE,SEINV,86400,4000,S.E. Investments Limited
NSE,TIJARIA,86400,4000,Tijaria Polypipes Limited
NSE,PRAKASHCON,86400,4000,Prakash Constrowell Limited
NSE,PANAMAPET,86400,4000,Panama Petrochem Limited
NSE,PGEL,86400,4000,PG Electroplast Limited
NSE,APLLTD,86400,4000,Alembic Pharmaceuticals Limited
NSE,VASWANI,86400,4000,Vaswani Industries Limited
NSE,SRSLTD,86400,4000,SRS Limited
NSE,TECHIN,86400,4000,Techindia Nirman Limited
NSE,CIMMCO,86400,4000,Cimmco Limited
NSE,TDPOWERSYS,86400,4000,TD Power Systems Limited
NSE,BROOKS,86400,4000,Brooks Laboratories Limited
NSE,FILATEX,86400,4000,Filatex India Limited
NSE,ASAHISONG,86400,4000,Asahi Songwon Colors Limited
NSE,TREEHOUSE,86400,4000,Tree House Education & Accessories Limited
NSE,WINSOME,86400,4000,Winsome Yarns Limited
NSE,GAYAPROJ,86400,4000,Gayatri Projects Limited
NSE,BODALCHEM,86400,4000,Bodal Chemicals Limited
NSE,SORILHOLD,86400,4000,SORIL Holdings and Ventures Limited
NSE,WINDMACHIN,86400,4000,Windsor Machines Limited
NSE,L&TFH,86400,4000,L&T Finance Holdings Limited
NSE,ELGIRUBCO,86400,4000,Elgi Rubber Company Limited
NSE,INVENTURE,86400,4000,Inventure Growth & Securities Limited
NSE,BGLOBAL,86400,4000,Bharatiya Global Infomedia Limited
NSE,RUSHIL,86400,4000,Rushil Decor Limited
NSE,MAITHANALL,86400,4000,Maithan Alloys Limited
NSE,KWALITY,86400,4000,kwality limited
NSE,ASHIANA,86400,4000,Ashiana Housing Limited
NSE,DHANUKA,86400,4000,Dhanuka Agritech Limited
NSE,KARMAENG,86400,4000,Karma Energy Limited
NSE,WEIZFOREX,86400,4000,Weizmann Forex Limited
NSE,DQE,86400,4000,DQ Entertainment (International) Limited
NSE,ESTER,86400,4000,Ester Industries Limited
NSE,VSTTILLERS,86400,4000,V.S.T Tillers Tractors Limited
